City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,mar del plata,-38.0023,-57.5575,296.77,80,0,5.36,AR,1703253165
110,pailon,-17.65,-62.75,303.97,55,29,3.47,BO,1703253389
111,avarua,-21.2078,-159.775,295.18,88,75,1.03,CK,1703253096
112,port mathurin,-19.6833,63.4167,300.25,77,81,2.79,MU,1703253131
113,saint-pierre,-21.3393,55.4781,303.47,70,40,2.06,RE,1703253373
114,invercargill,-46.4,168.35,284.46,96,100,0.84,NZ,1703253390
115,nabire,-3.3667,135.4833,298.49,90,100,0.98,ID,1703253390
116,yanjiang,30.1211,104.6481,280.42,72,54,0.76,CN,1703253390
117,chipata,-13.6333,32.65,297.64,70,100,1.47,ZM,1703253390
118,goundam,16.4145,-3.6708,300.69,8,6,5.24,ML,1703253390
119,abong mbang,3.9833,13.1833,306.6,25,100,1.42,CM,1703253391
120,sinabang,2.4803,96.3801,300.68,80,100,1.01,ID,1703253149
121,jining,35.405,116.5814,269.71,36,100,3.0,CN,1703253391
122,gao,16.6362,1.637,301.44,14,0,5.71,ML,1703253391
123,malango,-2.9627,119.9001,293.58,97,100,0.59,ID,1703253391
124,cockburn town,21.4612,-71.1419,297.68,65,64,8.93,TC,1703253392
125,san rafael,-34.6177,-68.3301,301.1,37,6,2.79,AR,1703253392
126,acapulco de juarez,16.8634,-99.8901,297.05,74,59,2.06,MX,1703253392
127,gadzhiyevo,69.2551,33.3362,259.78,96,100,4.24,RU,1703253392
128,mejit,10.2753,170.8646,300.46,78,100,9.32,MH,1703253393
129,greymouth,-42.4667,171.2,288.73,97,100,1.25,NZ,1703253393
130,ashburton,-37.8626,145.0794,289.03,67,67,1.79,AU,1703253393
131,mount gambier,-37.8333,140.7667,286.22,68,0,4.38,AU,1703253393
132,shumen,43.2706,26.9229,281.43,68,100,8.92,BG,1703253394
133,ridder,50.355,83.5133,264.99,86,15,2.42,KZ,1703253394
134,bredasdorp,-34.5322,20.0403,300.2,48,0,7.81,ZA,1703253394
135,golub-dobrzyn,53.1109,19.0538,274.58,95,100,12.37,PL,1703253394
136,fortuna,40.5982,-124.1573,282.96,98,100,0.0,US,1703253395
137,yellowknife,62.456,-114.3525,261.44,85,100,3.6,CA,1703253353
138,laojunmiao,39.8333,97.7333,266.02,65,100,2.97,CN,1703253395
139,nishinoomote,30.7333,131.0,281.39,65,100,9.72,JP,1703253395
140,katsuura,35.1333,140.3,279.2,49,2,8.99,JP,1703253396
141,vuyyuru,16.3667,80.85,297.22,69,59,0.0,IN,1703253396
142,saint croix,17.7397,-64.7388,299.4,80,40,2.57,VI,1703253396
143,klyuchi,52.2667,79.1667,272.03,96,95,3.09,RU,1703253396
144,paphos,34.7667,32.4167,292.03,68,40,8.23,CY,1703253397
145,thompson,55.7435,-97.8558,267.24,93,100,4.12,CA,1703252946
146,kincardine,56.0667,-3.7167,283.3,74,97,7.49,GB,1703253397
147,nizhniy kuranakh,58.8353,125.4869,246.41,97,100,1.6,RU,1703253397
148,richmond,37.5538,-77.4603,275.5,82,75,0.0,US,1703253196
149,happy valley-goose bay,53.3168,-60.3315,260.32,61,75,9.77,CA,1703253218
150,hamilton,39.1834,-84.5333,278.0,71,100,2.57,US,1703253206
151,san giovanni in fiore,39.2633,16.6996,287.39,75,28,3.79,IT,1703253398
152,petropavlovsk-kamchatsky,53.0452,158.6483,252.48,54,0,5.0,RU,1703253229
153,lianran,24.9227,102.485,277.45,76,100,1.93,CN,1703253398
154,jamestown,42.097,-79.2353,272.88,88,100,1.54,US,1703253398
155,queenstown,-31.8976,26.8753,303.72,28,89,2.02,ZA,1703253399
156,hudson,40.7168,-74.0663,272.18,57,0,3.6,US,1703253169
157,crane,31.3974,-102.3501,284.24,92,56,3.31,US,1703253266
158,maues,-3.3836,-57.7186,299.73,86,99,1.03,BR,1703253400
159,port alfred,-33.5906,26.891,295.47,84,39,5.36,ZA,1703253400
160,geraldton,-28.7667,114.6,296.38,68,100,4.12,AU,1703253253
161,akureyri,65.6835,-18.0878,264.11,86,100,2.06,IS,1703253400
162,baglung,28.2719,83.5898,286.36,60,100,1.56,NP,1703253400
163,matoury,4.8483,-52.3317,302.13,84,75,5.14,GF,1703253400
164,leo,11.1,-2.1,307.74,8,49,2.64,BF,1703253401
165,san felipe,10.3399,-68.7425,298.67,85,100,2.63,VE,1703253401
166,port lincoln,-34.7333,135.8667,289.56,78,100,6.08,AU,1703253401
167,enewetak,11.3474,162.3373,300.85,79,9,9.0,MH,1703253401
168,sumenep,-7.0167,113.8667,301.16,76,80,2.07,ID,1703253401
169,howrah,22.5892,88.3103,294.15,73,20,1.54,IN,1703253402
170,kavaratti,10.5669,72.642,301.96,70,100,1.66,IN,1703253402
171,nova vicosa,-17.8919,-39.3719,304.71,58,40,4.86,BR,1703253402
172,bonthe,7.5264,-12.505,304.44,40,98,3.92,SL,1703253310
173,sinop,41.7711,34.8709,279.56,88,99,3.85,TR,1703253403
174,goz beida,13.95,20.55,308.61,11,8,4.44,TD,1703253403
175,aasiaat,68.7098,-52.8699,251.52,100,91,3.59,GL,1703253403
176,lincoln,40.8,-96.667,281.31,97,100,2.57,US,1703253403
177,kardla,58.9978,22.7492,274.85,93,75,4.63,EE,1703253404
178,upata,8.0086,-62.3989,301.03,61,100,3.87,VE,1703253404
179,fort bragg,35.139,-79.006,278.61,76,98,1.42,US,1703253378
180,port saint john's,-31.6229,29.5448,299.61,76,6,7.28,ZA,1703253404
181,mil'kovo,55.6078,37.7956,273.48,95,100,6.65,RU,1703253404
182,nagqu,31.5,92.0,251.12,79,0,1.81,CN,1703253404
183,callao,-12.0667,-77.15,296.33,78,0,3.6,PE,1703253117
184,papatowai,-46.5619,169.4708,284.59,97,100,1.64,NZ,1703253405
185,gap,44.6667,6.0,272.54,92,92,5.43,FR,1703253405
186,bulawayo,-20.15,28.5833,303.18,24,7,5.66,ZW,1703253405
187,conil de la frontera,36.2772,-6.0885,290.87,56,0,1.78,ES,1703253405
188,sabirabad,40.0095,48.4752,282.62,46,100,2.87,AZ,1703253406
189,nuku'alofa,-21.1333,-175.2,297.34,88,75,3.09,TO,1703253406
190,lebu,-37.6167,-73.65,288.67,75,60,8.8,CL,1703253125
191,pikalevo,59.5183,34.1664,272.44,94,100,5.36,RU,1703253406
192,nelidovo,56.2211,32.7774,273.4,98,100,5.45,RU,1703253407
193,grand falls-windsor,48.9332,-55.6649,271.76,94,100,6.26,CA,1703253407
194,kabare,-2.4683,28.8242,294.42,87,92,1.06,CD,1703253407
195,nakamura,32.9833,132.9333,271.6,91,42,1.9,JP,1703253407
196,port macquarie,-31.4333,152.9167,290.31,87,100,4.08,AU,1703253407
